nik,no_kk,nama,tempat_tanggal_lahir,jenis_kelamin,status_perkawinan,alamat,kecamatan,kelurahan,pekerjaan,penghasilan,jumlah_tanggungan,kondisi_lantai,kondisi_dinding,kondisi_atap,status_kepemilikan_rumah,pendidikan_terakhir,jumlah_anak_sekolah,kepemilikan_aset,pengeluaran_bulanan,akses_listrik,akses_air,kondisi_kesehatan
35730188969574,35730354980716,Calon Penerima 1,1975-09-28,Laki-laki,Cerai Hidup,Jl. Kolonel Sugiono Dalam RT 05/RW 01,Kedungkandang,Kotalama,Petani / Buruh Tani,< Rp 500.000,3 - 4 Orang,Tanah / Kayu Kualitas Rendah,Bilik Bambu / Rumbia / Terpal,Ijuk / Rumbia / Daun,Numpang / Bebas Sewa (Fasum / Lahan orang lain),Tamat SD,Lebih dari 2 Anak Sekolah,Tidak Ada Aset Sama Sekali,< Rp 500.000,Numpang / Tidak Ada Listrik,Mata Air Tidak Terlindung / Sungai / Air Hujan,Sehat Fisik & Jasmani
35730312709380,35730428690105,Calon Penerima 2,1980-09-22,Laki-laki,Kawin,Perum. Tasikmadu Permai Blok B12 RT 10/RW 05,Lowokwaru,Tasikmadu,Wiraswasta / Pedagang,> Rp 4.000.000,3 - 4 Orang,Keramik / Marmer / Granit,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Sarjana / Perguruan Tinggi,1 - 2 Anak Sekolah,Aset Mewah (Mobil / Lahan Kosong / Emas Murni),Rp 3.000.000 - Rp 4.000.000,Listrik 900 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730563411327,35730269903622,Calon Penerima 3,1976-08-20,Laki-laki,Belum Kawin,Perum. Purwodadi Residences Blok C18 RT 09/RW 05,Blimbing,Purwodadi,Wiraswasta / Pedagang,> Rp 4.000.000,3 - 4 Orang,Keramik / Marmer / Granit,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Sarjana / Perguruan Tinggi,Tidak Ada Anak Sekolah,Aset Mewah (Mobil / Lahan Kosong / Emas Murni),Rp 3.000.000 - Rp 4.000.000,Listrik 1300 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730139764395,35730325522109,Calon Penerima 4,1982-07-20,Laki-laki,Kawin,Jl. Mayjen Sungkono No. 102 RT 06/RW 02,Kedungkandang,Kedungkandang,PNS / TNI / POLRI,Rp 3.000.000 - Rp 4.000.000,3 - 4 Orang,Semen Kasar / Papan Kayu Biasa,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Sarjana / Perguruan Tinggi,Tidak Ada Anak Sekolah,Aset Menengah Atas (Motor Baru / Ternak Sapi),Rp 3.000.000 - Rp 4.000.000,Listrik > 1300 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730172918846,35730182338616,Calon Penerima 5,1996-12-11,Laki-laki,Belum Kawin,Jl. Kolonel Sugiono No. 105 RT 10/RW 05,Sukun,Ciptomulyo,Wiraswasta / Pedagang,Rp 2.000.000 - Rp 3.000.000,0 - 2 Orang,Keramik / Marmer / Granit,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Sarjana / Perguruan Tinggi,Tidak Ada Anak Sekolah,Aset Mewah (Mobil / Lahan Kosong / Emas Murni),Rp 2.000.000 - Rp 3.000.000,Listrik 900 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730353299336,35730227474398,Calon Penerima 6,1970-07-23,Laki-laki,Belum Kawin,Perum. Warinoi Residences Blok D3 RT 02/RW 02,Blimbing,Bunulrejo,PNS / TNI / POLRI,> Rp 4.000.000,0 - 2 Orang,Keramik / Marmer / Granit,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Tamat SMA / SMK,Tidak Ada Anak Sekolah,Aset Menengah Atas (Motor Baru / Ternak Sapi),> Rp 4.000.000,Listrik 900 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730571416125,35730142671864,Calon Penerima 7,1982-06-21,Perempuan,Cerai Hidup,Jl. Pahlawan Gg. 2 RT 15/RW 04,Blimbing,Balearjosari,Buruh Pabrik / Bangunan,< Rp 500.000,3 - 4 Orang,Tanah / Kayu Kualitas Rendah,Bilik Bambu / Rumbia / Terpal,Ijuk / Rumbia / Daun,Sewa / Kontrak (Membayar bulanan/tahunan),Tidak Sekolah,Lebih dari 2 Anak Sekolah,Hanya Aset Kecil (Sepeda / HP Murah / Unggas),< Rp 500.000,Numpang / Tidak Ada Listrik,Mata Air Tidak Terlindung / Sungai / Air Hujan,Disabilitas Berat / Penyakit Menahun (Stroke/TBC)
35730559147148,35730487630837,Calon Penerima 8,1968-07-05,Perempuan,Belum Kawin,Jl. Koral No. 1 RT 08/RW 02,Lowokwaru,Tlogomas,Karyawan Swasta,Rp 3.000.000 - Rp 4.000.000,0 - 2 Orang,Keramik / Marmer / Granit,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Sarjana / Perguruan Tinggi,Tidak Ada Anak Sekolah,Aset Menengah Atas (Motor Baru / Ternak Sapi),Rp 3.000.000 - Rp 4.000.000,Listrik > 1300 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730449330070,35730493581289,Calon Penerima 9,1974-08-11,Laki-laki,Kawin,Jl. Bogor No. 53 RT 05/RW 01,Klojen,Penanggungan,Karyawan Swasta,Rp 3.000.000 - Rp 4.000.000,0 - 2 Orang,Keramik / Marmer / Granit,Tembok Penuh (Diplester & Dicat),Genteng Tanah Liat / Baja Ringan / Genteng Keramik,Milik Sendiri / Warisan,Tamat SMA / SMK,1 - 2 Anak Sekolah,Aset Mewah (Mobil / Lahan Kosong / Emas Murni),Rp 3.000.000 - Rp 4.000.000,Listrik > 1300 VA,PAM / Leding Meteran / Air Kemasan Bermerk,Sehat Fisik & Jasmani
35730581450657,35730215885826,Calon Penerima 10,1998-06-20,Perempuan,Kawin,Jl. Ki Ageng Gribig Gg. 6 RT 13/RW 10,Kedungkandang,Lesanpuro,Tidak Bekerja,< Rp 500.000,> 4 Orang,Tanah / Kayu Kualitas Rendah,Bilik Bambu / Rumbia / Terpal,Ijuk / Rumbia / Daun,Sewa / Kontrak (Membayar bulanan/tahunan),Tidak Sekolah,Lebih dari 2 Anak Sekolah,Tidak Ada Aset Sama Sekali,< Rp 500.000,Listrik 450 VA,Sumur Gali Terlindung / Pompa Tangan,Disabilitas Berat / Penyakit Menahun (Stroke/TBC)
